Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
333,Rodney Hood\hoodro01,SG,25,UTA,36,12,28.3,6,14.5,0.413,2.7,7,0.386,3.3,7.5,0.437,0.506,2.1,2.4,0.862,0.4,2.6,2.9,1.7,0.8,0.2,1.7,1.8,16.7
334,Zach Collins\colliza01,C,20,POR,35,1,15.4,1.8,4.3,0.413,0.5,1.4,0.367,1.3,2.9,0.436,0.473,0.2,0.5,0.471,0.7,2.7,3.4,0.7,0.3,0.5,0.9,2.2,4.3
335,Justin Anderson\anderju01,SF,24,PHI,20,0,14.5,2.2,5.2,0.413,0.8,2.5,0.3,1.4,2.7,0.519,0.486,0.8,0.9,0.833,0.9,1.8,2.7,0.6,0.5,0.2,0.4,1.7,5.8
336,Al-Farouq Aminu\aminual01,PF,27,POR,38,36,29.9,3.6,8.7,0.412,2,4.9,0.399,1.6,3.7,0.43,0.526,0.8,1.1,0.725,1.2,5.8,7,1.1,0.9,0.7,1,1.9,9.9
337,Wesley Johnson\johnswe01,SF,30,LAC,45,28,24.9,2.6,6.4,0.412,1,3.1,0.326,1.6,3.4,0.49,0.49,0.8,1.1,0.725,0.4,3.3,3.8,1,1.2,1.2,1,2.3,7.1
338,Nik Stauskas\stausni01,SG,24,TOT,26,0,13.7,1.6,3.9,0.412,1.2,2.6,0.441,0.5,1.3,0.353,0.559,0.6,0.8,0.8,0.1,1.5,1.7,0.9,0.3,0.1,0.8,0.5,5
339,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,42,42,32.9,4.6,11.2,0.411,2,5.7,0.36,2.6,5.5,0.464,0.502,2,2.7,0.754,0.8,3.9,4.7,2,1.6,0.2,1.3,1.8,13.3
340,Marquese Chriss\chrisma01,PF,20,PHO,45,39,21.2,2.6,6.3,0.411,0.8,2.7,0.298,1.8,3.6,0.497,0.475,1.2,1.9,0.616,0.9,4.2,5.1,1.2,0.7,1,1.3,3,7.1
341,Nicolas Batum\batumni01,SG,29,CHO,36,36,31.4,4.2,10.3,0.411,1.3,4.2,0.3,3,6.1,0.486,0.472,1.6,2.1,0.797,0.8,3.6,4.4,4.8,1,0.3,2.2,1.2,11.3
342,De'Aaron Fox\foxde01,PG,20,SAC,43,30,26.8,4.2,10.3,0.41,0.7,1.8,0.359,3.6,8.4,0.421,0.442,1.9,2.6,0.73,0.5,2.1,2.6,4.2,0.9,0.3,2.3,2.4,11
343,Jameer Nelson\nelsoja01,PG,35,NOP,43,0,20.9,2,4.8,0.41,0.9,2.6,0.364,1,2.2,0.463,0.507,0.3,0.4,0.765,0.3,2,2.2,3.6,0.5,0.1,1.3,1.6,5.1
344,DeMarre Carroll\carrode01,SF,31,BRK,47,47,29.2,4.3,10.6,0.409,1.7,5.1,0.345,2.6,5.6,0.467,0.491,2.7,3.4,0.776,1.7,4.9,6.6,2,0.9,0.4,1.5,2.1,13.1
345,Avery Bradley\bradlav01,SG,27,DET,40,40,31.7,5.8,14.3,0.409,1.9,4.9,0.381,4,9.4,0.423,0.474,1.5,2,0.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2,15
346,Briante Weber\weberbr01,PG,25,HOU,13,0,9.1,0.7,1.7,0.409,0.3,0.7,0.444,0.4,1,0.385,0.5,0.3,0.3,1,0.2,1.2,1.4,1,0.8,0.2,0.5,1.4,2
347,Garrett Temple\templga01,SG,31,SAC,46,33,25.1,3.1,7.6,0.408,1.3,3.6,0.37,1.8,4,0.443,0.496,0.9,1.2,0.719,0.3,2.1,2.4,2,0.9,0.5,1.3,2.1,8.4
348,Terrence Ross\rosste01,SG,26,ORL,22,20,26.2,3.3,8,0.407,1.3,3.9,0.329,2,4.2,0.478,0.486,1.2,1.6,0.743,0.5,2.7,3.2,1.6,1.2,0.5,1.1,2,9
